Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Central Conn,19.8,0.328,26.5,0.366,58.3,0.458,58.5,0.515,19.3,18.6,19.9,21.8,0.781,14.1,12.9,72.6,9.4,9,23,23.1,0.31,0.333,-6.7
Central FL,19,0.365,22.5,0.313,53.4,0.52,58.7,0.445,16.8,21.2,24.2,17.1,0.649,11.9,12.1,69.3,8,9.2,24.8,20.6,0.727,0.444,5.9
Central Mich,23.4,0.369,22.9,0.293,62,0.489,64.4,0.536,17.2,20.1,24.8,18.5,0.671,12,13.8,75.9,9.9,11.2,23.4,25.2,0.625,0.375,-0.8
Charl South,26.2,0.345,24.1,0.359,61.4,0.484,57,0.488,16.8,16.5,16.6,17.8,0.692,12.7,14.9,72.3,9.4,8.3,23.2,25,0.467,0.333,-4
Charlotte,21.2,0.311,22.9,0.355,49.7,0.493,54.1,0.499,16.9,17,18.1,17.7,0.742,14.4,11.7,67,5.6,7.3,22.4,23.2,0.276,0.333,-1.7
Chattanooga,25.1,0.363,20.9,0.364,57.8,0.493,59.3,0.52,17.7,16.2,14,18.8,0.68,13.2,10.6,70.6,7,8.3,23,25.1,0.31,0.5,-3.7
Chicago St,14.6,0.306,26.9,0.384,53.9,0.435,61.4,0.578,19.8,17.9,17.9,20.7,0.685,16.1,11.9,72.8,6,10.1,20.7,25.7,0.033,0,-7.4
Cincinnati,19.2,0.345,22.9,0.355,57.7,0.476,53.4,0.451,16.1,18.8,21.7,16.3,0.704,10.4,13.6,67.1,10.9,8.1,22.1,19.7,0.8,0.846,6.5
Citadel,34.5,0.335,31.4,0.371,64.4,0.542,64.2,0.575,17.9,16.9,16.6,20.4,0.739,13,12.7,76.6,8.2,10.6,23.1,27.7,0.333,0.375,-3.6
Clemson,19.4,0.328,21.6,0.35,54.6,0.515,54.6,0.444,16.2,17.1,18.3,16.4,0.732,13.2,13.3,68.7,7.9,6.9,24.7,22,0.588,0.3,8.8
Cleveland St,26.2,0.365,24.9,0.329,58.9,0.489,62.4,0.532,18.2,18.8,18.7,21.2,0.68,13.3,12.1,73.4,8.1,10.8,23.7,25.8,0.276,0.2,-3.8
Coastal Car,22.6,0.37,25.6,0.323,58.3,0.495,57.1,0.531,20.8,18.8,23,24.2,0.72,14,12.9,72.7,10,9.3,23.7,21.7,0.469,0.222,-0.9
